NDB_No,Shrt_Desc,Water,Energ_Kcal,Protein,Lipid_Tot,Ash,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,ZInc,Copper,Manganese,Selenium,Vit_C,Thiamin,Ribolfavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Folic_Acid,Food_Folate,Folate_DFE,Choline_Tot,Vit_B12,Vit_A_IU,Vit_A_RAE,Retinol,Alpha_Carot,Beta_Carot,Beta_Crypt,Lycopene,Lut+Zea,Vit_E,Vit_K,FA_SAt,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
01083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK solicit A",89.81,43,3.48,0.97,0.77,4.97,0,3.670000076,128,0.05,14,100,162,52,0.4,0.01,0.002,2.3,1,0.04,0.173,0.09,0.336,0.045,5,0,5,5,18,0.52,204,59,58,0,3,0,0,0,0.04,0,0.604,0.28,0.036,4,245,1 cup,32,1 quart,0
01084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT fortwo VIT A",88.74,48,3.93,1.17,0.86,5.52,0,3.670000076,142,0.06,16,111,180,58,0.45,0.01,0.002,2.5,0,0.045,0.192,0.1,0.373,0.05,6,0,6,6,18,0.43,203,61,61,0,3,0,0,0,0.04,0,0.728,0.338,0.043,4,246,1 cup,32,1 quart,0
01085,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0,5.090000153,125,0.03,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.094,0.357,0.037,5,0,5,5,16,0.53,204,61,61,0,0,0,0,0,0.01,0,0.051,0.021,0.003,2,245,1 cup,31,1 fly oz,0
01086,"MILK,NONFAT,FLUID,W/ NONFAT MILK solicit A (FAT FREE/SKIM)",90.38,37,3.57,0.25,0.78,5.02,0,5.019999981,129,0.05,15,104,171,53,0.41,0.011,0.002,2.5,1,0.041,0.175,0.091,0.339,0.046,5,0,5,5,16,0.34,203,61,61,0,0,0,0,0,0,0,0.162,0.065,0.009,2,245,1 cup,31,1 fly oz,0
01087,"MILK,NONFAT,FLUID,PROT fortwo VIT A (FAT FREE/SKIM)",89.36,41,3.96,0.25,0.87,5.56,0,3.670000076,143,0.06,16,112,182,59,0.45,0.011,0.002,2.5,0,0.045,0.194,0.101,0.376,0.05,6,0,6,6,18,0.43,203,61,61,0,3,0,0,0,0.04,0,0.162,0.065,0.009,2,246,1 cup,32,1 quart,0
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,3.31,0.88,0.89,4.79,0,4.789999962,116,0.05,11,89,151,105,0.42,0.011,0.002,2,1,0.034,0.154,0.058,0.275,0,5,0,5,5,16,0.34,26,7,7,0,1,0,0,0,0.04,0.1,0.548,0.254,0.033,4,245,1 cup,31,1 fly oz,0
01089,"MILK,LOW SODIUM,FLUID",88.2,61,3.1,3.46,0.78,4.46,0,4.460000038,101,0.05,7,86,253,3,0.38,0.01,0.004,2,0,0.02,0.105,0.043,0.304,0,5,0,5,5,16,0.34,103,28,28,0,0,0,0,0,0.06,0.2,2.154,0.999,0.128,0,244,1 cup,30,1 fly oz,0
01090,"MILK,DRY,WHOLE",2.47,496,26.32,26.71,6.08,4.97,0,3.5499999525,912,0.05,16.5,776,161,371,3.34,0.08,0.04,14.5,0,0.039,0.279,0.105,0.3935,0.053,8,0,8,8,16,0.49,915,257,253,0,0,0,0,0,0.01,1.8,16.742,7.924,0.665,9,244,1 cup,32,.25 cup,0
01091,"MILK,DRY,NONFAT,REG,WO/ VIT A",3.16,362,36.16,0.77,7.93,4.97,0,3.5499999525,1257,0.05,16.5,968,161,535,4.08,0.041,0.02,27.3,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,16,0.49,22,6,6,0,1,0,0,0,0,0.1,0.499,0.201,0.03,0,120,1 cup,30,.25 cup,0
01092,"MILK,DRY,NONFAT,INST,W/ VIT A",3.96,358,35.1,0.72,8.03,4.97,0,3.5499999525,1231,0.31,16.5,985,161,549,4.41,0.041,0.02,27.3,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,16,0.49,414,107,89,0,1,0,0,0,0.01,0,0.467,0.187,0.028,9,227,1 cup,227,"1 envelope, i (1-1/3 cup)",0
01093,"MILK,DRY,NONFAT,CA RED",4.9,354,35.5,0.2,7.6,4.97,0,17.20000076,280,0.05,16.5,1011,161,158,4.03,0.016,0.011,27.3,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,18,0.49,8,2,1,0,11,0,0,0,0.01,0,0.124,0.058,0.007,2,132,1 oz,113,.25 la,0
01094,"MILK,BUTTERMILK,DRIED",2.97,387,34.3,5.78,7.95,4.97,0,3.5499999525,1184,0.05,16.5,933,161,517,4.02,0.016,0.001,14.5,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,16,0.49,175,49,48,0,9,0,0,0,0.01,0.4,3.598,1.669,0.215,0,120,1 cup,227,1 top,0
01095,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,1.83,4.97,0,3.5499999525,284,0.19,26,253,371,127,0.94,0.03,0.006,3.1,0,0.041,0.416,0.21,0.75,0,11,0,11,11,16,0.52,267,74,73,0,0,0,0,0,0.04,0,5.486,2.427,0.337,2,244,1 cup,227,1 fly oz,0
01096,"MILK,CND,EVAP,WO/ VIT A",74.04,134,6.81,7.56,1.55,10.04,0,10.03999996,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,0,0.047,0.316,0.194,0.638,0.05,8,0,8,8,18,0.34,233,65,64,0,0,0,0,0,0.04,0,4.591,2.335,0.245,0,244,1 cup,32,1 fly oz,0
01097,"MILK,CND,EVAP,NONFAT",79.4,78,7.55,0.2,1.5,11.35,0,11.35000038,290,0.03,27,195,332,115,0.9,0.016,0.006,2.5,0,0.045,0.309,0.174,0.738,0,9,0,9,9,18,0.53,394,118,118,0,0,0,0,0,0,0,0.121,0.062,0.006,4,244,1 cup,32,1 fly oz,0
01102,"MILK,CHOC,FLUID,COMM,",82.3,83,3.17,3.39,0.8,10.34,0,9.539999962,112,0.24,13,101,167,60,0.41,0.01,0.005,1.9,0,0.037,0.162,0.125,0.295,0.04,5,0,5,5,17,0.33,95,26,26,0,5,0,0,0,0.06,0.2,2.104,0.99,0.124,0,250,1 cup,31,1 fly oz,0
01103,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,2.99,1.9,0.81,12.13,0,9.550000191,109,0.24,14,102,169,66,0.39,0.01,0.062,2.5,0,0.045,0.183,0.164,0.539,0,2,0,2,2,17,0.33,227,64,63,0,11,0,0,0,0.04,0.2,1.177,0.455,0.089,8,250,1 cup,31,1 fly oz,0
01104,"MILK,CHOC,FLUID,COMM,LOWFAT",84.5,63,3.24,1,0.82,10.44,0,9.93999958,115,0.24,13,103,170,61,0.41,0.01,0.007,1.9,0,0.04,0.166,0.127,0.302,0,5,0,5,5,17,0.34,196,58,58,0,2,0,0,0,0.02,0.1,0.616,0.3,0.035,0,250,1 cup,32,1 quart,0
01105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.57,77,3.52,2.33,0.65,10.63,0,9.670000076,105,0.03,23,105,197,44,0.63,0.01,0.005,2.5,0,0,0.182,0.133,0.328,0.04,5,0,5,5,18,0.34,175,51,51,0,3,0,0,0,0.04,0.2,1.431,0.677,0.034,8,250,1 cup,31,1 fly oz,0
01106,"MILK,GOAT,FLUID",87.03,69,3.56,4.14,0.82,4.45,0,4.449999809,134,0.05,14,111,204,50,0.3,0.01,0.04,2,0,0.048,0.138,0.277,0.31,0.046,1,0,1,1,16,0.34,198,57,56,0,0,0,0,0,0.04,0.3,2.667,1.109,0.149,0,244,1 cup,30,1 fly oz,0
01107,"MILK,HUMAN,MATURE,FLUID",87.5,70,1.03,4.38,0.2,6.89,0,6.889999866,32,0.03,7,14,51,17,0.17,0.01,0.002,2,0,0.014,0.036,0.177,0.223,0,5,0,5,5,16,0.34,212,61,60,0,0,0,0,0,0.04,0.3,2.009,1.658,0.497,0,246,1 cup,31,1 fly oz,0
01108,"MILK,INDIAN BUFFALO,FLUID",83.39,97,3.75,6.89,0.79,5.18,0,4.679999828,169,0.39,13,117,178,52,0.22,0.01,0.003,2.5,0,0.04,0.135,0.091,0.192,0,6,0,6,6,18,0.52,178,53,53,0,3,0,0,0,0.04,0,4.597,1.787,0.146,0,244,1 cup,32,1 quart,0
01109,"MILK,SHEEP,FLUID",80.7,108,5.98,7,0.96,5.36,0,4.679999828,193,0.39,13,158,137,44,0.54,0.01,0.003,2.5,0,0.04,0.355,0.105,0.407,0,7,0,7,7,18,0.52,147,44,44,0,3,0,0,0,0.04,0,4.603,1.724,0.308,0,245,1 cup,32,1 quart,0
01110,"MILK SHAKES,THICK CHOC",72.2,119,3.05,2.7,0.9,21.15,0,3.5499999525,132,0.31,16,126,224,111,0.48,0.01,0.003,1.9,0,0.047,0.222,0.124,0.363,0,5,0,5,5,18,0.34,67,18,18,0,4,0,0,0,0.04,0.2,1.681,0.78,0.1,0,244,1 fly oz,227,"1 container, i (10.6 oz)",0
01111,"MILK SHAKES,THICK VANILLA",74.45,112,3.86,3.03,0.91,17.75,0,17.75,146,0.03,12,115,183,95,0.39,0.01,0.014,2.3,0,0.03,0.195,0.146,0.368,0,7,0,7,7,18,0.52,91,25,25,0,5,0,0,0,0.04,0.2,1.886,0.875,0.113,0,244,1 fly oz,227,"1 container, i (11 oz)",0
01112,"WHEY,ACID,FLUID",93.42,24,0.76,0.09,0.61,5.12,0,5.119999886,103,0.03,10,78,143,48,0.43,0.01,0.002,2.5,0,0.04,0.14,0.079,0.381,0,2,0,2,2,16,0.53,7,2,2,0,0,0,0,0,0,0,0.057,0.025,0.004,0,246,1 cup,32,1 quart,0
01113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,1.55,4.97,0,3.5499999525,169,0.05,16.5,188,161,968,6.31,0.019,0.004,27.3,0,0.039,0.279,0.105,0.3935,0.053,8,0,10,11,16,0.52,59,17,17,0,1,0,0,0,0,0,0.342,0.149,0.021,0,244,1 cup,3,1 top,0
01114,"WHEY,SWEET,FLUID",93.12,27,0.85,0.36,0.53,5.14,0,5.139999866,47,0.06,10,46,161,54,0.13,0.01,0.001,1.9,0,0.04,0.158,0.074,0.383,0,1,0,1,1,16,0.53,12,3,3,0,1,0,0,0,0,0,0.23,0.1,0.011,2,246,1 cup,32,1 quart,0
01115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,8.35,4.97,0,3.5499999525,796,0.05,16.5,932,161,1079,1.97,0.024,0.004,14.5,0,0.039,0.279,0.105,0.3935,0.053,12,0,12,12,16,0.52,30,8,8,0,2,0,0,0,0.02,0.1,0.684,0.297,0.034,6,244,1 cup,227,1 top,0
01116,"YOGURT,PLN,WHL milk GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0,4.659999847,121,0.05,12,95,155,46,0.59,0.01,0.004,2.3,0,0.029,0.142,0.075,0.389,0,7,0,7,7,15,0.34,99,27,27,0,5,0,0,0,0.06,0.2,2.096,0.893,0.092,0,245,"1 cup, i (8 fly oz)",227,"1 container, i (8 oz)",0
01117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,1.09,7.04,0,7.039999962,183,0.03,7,144,234,70,0.89,0.013,0.004,2,0,0,0.214,0.114,0.591,0,11,0,11,11,15,0.34,51,14,14,0,2,0,0,0,0.04,0.2,1,0.426,0.044,6,245,"1 cup, i (8 fly oz)",227,"1 container, i (8 oz)",0
01118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,1.18,7.68,0,7.679999828,199,0.03,19,157,255,77,0.97,0.01,0.005,2,0,0.048,0.234,0.124,0.641,0,12,0,12,12,15,0.34,7,2,2,0,0,0,0,0,0,0.2,0.116,0.049,0.005,2,245,"1 cup, i (8 fly oz)",227,"1 container, i (8 oz)",0
01119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79,85,4.93,1.25,1.02,13.8,0,13.80000019,171,0.07,16,135,219,66,0.83,0.013,0.004,2,0,0,0.201,0.107,0.552,0.045,11,0,11,11,15,0.53,43,12,12,0,2,0,0,0,0.02,0.1,0.806,0.343,0.036,5,245,"1 cup, i (8 fly oz)",227,"1 container, i (8 oz)",0
01120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0,18.63999939,138,0.06,13,109,177,53,0.67,0.01,0.003,2.8,0,0.034,0.162,0.086,0.446,0.037,9,0,9,9,15,0.43,40,11,11,0,2,0,0,0,0.02,0.1,0.742,0.316,0.033,5,245,"1 cup, i (8 fly oz)",227,"1 container, i (4.4 oz)",0
01121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,1.02,19.05,0,3.5499999525,152,0.07,15,119,195,58,0.74,0.08,0.003,3.1,0,0.037,0.178,0.095,0.489,0.04,9,0,9,9,14,0.34,36,10,10,0,2,0,0,0,0.02,0.1,0.697,0.297,0.031,4,245,"1 cup, i (8 fly oz)",227,"1 container, i (6 oz)",0
01122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,4.86,1.41,1.03,18.6,0,3.670000076,169,0.07,16,133,216,65,0.82,0.08,0.002,3.1,0,0.041,0.198,0.105,0.544,0.045,10,0,10,10,18,0.52,60,37,274,0,0,0,0,0,0.04,0,0.909,0.387,0.04,6,227,"1 container, i (8 oz)",113,".5 container, i (4 oz)",0
01123,"EGG,WHOLE,RAW,FRESH",75.84,143,12.58,9.94,0.86,0.77,0,0.769999981,53,0.25,12,191,134,140,1.11,0.03,0.038,2.5,0,0,0.478,0.07,1.438,0,10,0,10,10,16,0.34,487,140,139,0,3,0,0,0,0.01,0.3,3.099,3.81,1.364,31,243,"1 cup, i (4.86 large eggs)",227,4 oz,0
01124,"EGG,WHITE,RAW,FRESH",87.57,48,10.9,0.17,0.63,0.73,0,0.709999979,7,0.03,11,15,163,166,0.03,0.03,0.011,2.5,0,0,0.439,0.105,0.19,0,4,0,4,4,18,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1 cup,227,4 oz,0
01125,"EGG,YOLK,RAW,FRSH",52.31,317,15.86,26.54,1.71,3.59,0,0.560000002,129,0.25,16,390,109,48,2.3,0.01,0.002,11.3,0,0.039,0.528,0.024,0.3935,0.053,10,0,10,10,16,0.83,1442,381,371,0,3,0,0,0,0.23,0.7,9.551,11.738,0.546,31,243,1 cup,227,1 quart,0
01126,"EGG,YOLK,RAW,FROZEN",56.2,303,15.5,25.6,1.55,1.15,0,0.50999999,138,0.25,9,417,118,67,2.88,0.024,0.062,11.3,0,0.039,0.52,0.045,0.3935,0.053,10,0,10,10,16,0.83,1609,433,423,0,0,0,0,0,0.23,0.7,7.82,9.747,0.546,31,227,.5 la,227,1 quart,0
01127,"EGG,YOLK,RAW,FRZ,SUGARED",51.25,307,13.8,22.75,1.4,10.8,0,17.39999962,123,0.25,10,384,103,67,2.81,0.012,0.003,11.3,0,0.039,0.53,0.023,0.3935,0.053,10,0,10,10,19,0.83,1315,395,395,0,11,0,0,0,0.01,0,6.97,8.614,0.546,31,227,.5 la,227,1 quart,0
01128,"EGG,WHL,CKD,FRIED",69.13,196,13.63,15.31,1.05,0.88,0,0.829999983,59,0.25,13,208,147,204,1.2,0.03,0.003,3.1,0,0,0.518,0.077,1.558,0.046,10,0,10,10,16,0.34,729,198,193,0,3,0,0,0,0.01,0,4.294,6.346,0.546,31,227,1 cup,227,4 oz,0
01129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.08,1.12,0,1.120000005,50,0.03,10,172,126,124,1.05,0.013,0.005,3.1,0,0,0.513,0.064,1.398,0,10,0,10,10,16,0.34,586,169,168,0,11,0,0,0,0.01,0.3,3.267,4.077,1.414,31,227,1 cup,227,1 top,0
01130,"EGG,WHOLE,COOKED,OMELET",75.87,157,10.59,12.03,0.84,0.68,0,0.649999976,47,0.03,10,162,114,161,0.93,0.03,0.005,1.9,0,0,0.404,0.06,1.21,0,12,0,10,12,16,0.34,572,155,152,0,0,0,0,0,0.01,0,3.296,4.971,2.252,31,227,1 top,227,4 oz,0
01131,"EGG,WHL,CKD,POACHED",75.54,142,12.53,9.9,1.26,0.76,0,0.769999981,53,0.25,12,190,133,294,1.1,0.03,0.003,3.1,0,0.041,0.405,0.059,1.433,0.04,10,0,10,1,16,0.34,485,139,138,0,3,0,0,0,0.01,0.3,3.087,3.795,1.359,31,227,1 cup,227,4 oz,0
01132,"EGG,WHL,CKD,SCRMBLD",73.15,167,11.09,12.21,1.36,2.2,0,1.730000019,71,0.03,12,170,138,280,1,0.03,0.005,3.1,0,0.021,0.437,0.079,1.007,0.04,12,0,10,12,16,0.34,526,143,140,0,0,0,0,0,0.01,0,3.679,4.768,2.148,31,227,1 cup,14,1 top,0
01133,"EGG,WHOLE,DRIED",3.1,594,47.35,40.95,3.65,4.95,0,3.079999924,231,0.25,16,831,161,523,5.28,0.03,0.017,11.3,0,0.039,0.279,0.305,0.3935,0.053,10,0,10,10,16,0.49,997,275,270,0,0,0,0,0,0.23,2.5,12.727,15.337,0.546,31,227,"1 cup, i sifted",5,1 top,0
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,3.63,2.38,0,17.39999962,222,0.25,7,715,161,548,5.71,0.03,0.017,11.3,0,0.039,0.279,0.259,0.3935,0.053,10,0,10,10,19,0.49,414,107,89,0,3,0,0,0,0.04,0,13.198,17.564,0.546,31,227,"1 cup, i sifted",5,1 top,0
01135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",14.62,351,11.47,0.04,4.25,4.17,0,4.170000076,83,0.05,16.5,83,161,1156,0.15,0.03,0.011,11.3,0,0,0.279,0.105,0.3935,0.045,10,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,.5 la,227,4 oz,0
01136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",8.54,376,11.47,0.04,4.55,4.47,0,4.46999979,89,0.24,16.5,89,161,1238,0.16,0.03,0.001,11.3,0,0.037,0.279,0.105,0.3935,0.045,10,0,10,10,18,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,"1 cup, i sifted",227,1 top,0
01137,"EGG,YOLK,DRIED",2.95,666,34.25,55.8,3.4,3.6,0,3.599999905,284,0.25,13,920,244,135,4.93,0.012,0.002,11.3,0,0.039,0.279,0.095,0.3935,0.053,10,0,10,10,16,0.49,1751,417,395,0,13,0,0,0,0.23,2.7,17.154,3.5685000000000002,0.546,31,227,"1 cup, i sifted",4,1 top,0
01138,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.14,1.45,0,0.930000007,64,0.25,7,220,222,146,1.41,0.062,0.038,2.3,0,0.039,0.404,0.2,0.3935,0.053,10,0,10,10,16,0.49,674,194,192,0,3,0,0,0,0.01,0.4,3.681,6.525,1.223,31,227,1 egg,227,4 oz,0
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",70.43,185,13.87,13.27,1.08,1.35,0,0.939999998,60,0.25,16,208,210,138,1.33,0.062,0.038,2.3,0,0.039,0.382,0.189,0.3935,0.046,10,0,10,10,16,0.49,650,187,185,0,3,0,0,0,0.01,0.4,3.595,5.747,1.672,31,227,1 egg,227,4 oz,0
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",74.35,158,13.05,11.09,1.1,0.41,0,0.409999996,64,0.25,13,226,132,141,1.47,0.062,0.038,2.3,0,0.039,0.79,0.15,0.3935,0,10,0,10,10,16,0.34,543,156,155,0,11,0,0,0,0.01,0.3,3.557,4.324,1.324,31,227,1 egg,227,4 oz,0
01141,"EGG,TURKEY,WHL,FRSH,RAW",72.5,171,13.68,11.88,0.79,1.15,0,6.630000114,99,0.25,13,170,142,151,1.58,0.062,0.038,14.5,0,0.02,0.47,0.024,0.3935,0,10,0,10,10,19,0.52,554,166,166,0,11,0,0,0,0.01,0,3.632,4.571,1.658,31,227,1 egg,227,4 oz,0
01142,"EGG SUBSTITUTE,FROZEN",73.1,160,11.29,11.11,1.3,3.2,0,3.200000048,73,0.25,15,72,213,199,0.98,0.01,0.006,11.3,0,0,0.386,0.14,0.3935,0,9,0,9,1,18,0.34,225,11,0,0,0,0,0,0,0.23,0.2,1.93,2.435,0.546,2,240,1 cup,227,.25 cup,0
01143,"EGG SUBSTITUTE,LIQUID",82.75,84,12,3.31,1.3,0.64,0,0.639999986,53,0.25,9,121,330,177,1.3,0.01,0.007,2,0,0,0.3,0.11,0.3935,0.003,9,0,9,5,18,0.3,360,18,0,0,13,0,0,0,0.27,0,0.659,0.896,1.603,0,244,1 cup,227,1 top,0
01144,"EGG SUBSTITUTE,POWDER",3.86,444,11.47,13,5.84,21.8,0,3.5499999525,326,0.25,16.5,478,161,800,1.82,0.03,0.001,11.3,0,0.039,0.279,0.105,0.3935,0.045,10,0,10,10,16,0.49,1230,369,369,0,0,0,0,0,0.01,0.4,3.766,5.341,1.683,31,227,1 cup,227,1 quart,0
01145,"BUTTER,WITHOUT SALT",17.94,717,0.85,12,0.04,0.06,0,0.059999999,24,0.03,2,24,24,11,0.09,0.016,0.004,3.1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,19,0.52,414,107,89,0,13,0,0,0,0.23,1.1,4.591,3.5685000000000002,0.546,9,227,1 cup,14,1 top,0
01146,"CHEESE,PARMESAN,SHREDDED",25,415,37.86,27.34,6.39,3.41,0,17.20000076,1253,0.05,7,735,97,158,3.19,0.027,0.02,14.5,0,0.041,0.352,0.287,0.527,0.045,8,0,8,8,18,0.52,639,122,108,0,0,0,0,0,0.04,0.2,17.37,8.734,0.661,0,132,1 top,227,"1 cup, shredded",0
01147,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA poor,39.16,375,22.15,31.25,5.84,1.6,0,0.50999999,616,0.39,22,444,162,650,2.99,0.03,0.001,3.1,0,0.027,0.353,0.069,0.482,0.045,8,0,8,8,18,0.52,961,254,247,0,0,0,0,0,0.27,2.7,19.694,8.951,0.99,94,227,1 oz,227,1 cubic inch,0
01148,"CHEESE,PAST PROCESS,SWISS,WO/DI NA poor,42.31,334,24.73,25.01,5.85,2.1,0,17.39999962,772,0.06,29,540,216,681,3.61,0.027,0.014,14.5,0,0.014,0.276,0.038,0.26,0.036,6,0,6,6,18,0.52,808,225,221,0,0,0,0,0,0.04,0.2,16.045,7.046,0.622,9,227,1 oz,227,1 cubic inch,0
01149,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA poor,43.15,328,19.61,24.6,5.35,7.29,0,7.429999828,574,0.06,11,754,279,158,2.99,0.03,0.01,14.5,0,0.029,0.442,0.14,0.558,0.045,7,0,7,7,18,0.3,762,201,196,0,0,0,0,0,0.04,0.2,15.443,7.206,0.723,0,132,1 oz,227,"1 package, i (8 oz)",0
01150,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA poor,47.65,290,16.41,21.23,5.98,8.73,0,17.20000076,562,0.05,29,875,242,158,2.59,0.03,0.02,14.5,0,0.048,0.431,0.131,0.686,0.045,7,0,7,7,18,0.3,788,0,359,0,0,0,0,0,0.04,0.2,13.327,6.219,0.624,0,132,1 oz,227,"1 jar, i (5 oz)",0
01151,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",90.8,35,3.41,0.18,0.76,4.85,0,5.090000153,123,0.39,11,101,166,52,0.4,0.011,0.002,2.5,1,0.04,0.14,0.088,0.329,0.04,5,0,5,5,18,0.53,7,2,2,0,3,0,0,0,0.04,0,0.117,0.047,0.007,2,245,1 cup,32,1 quart,0
01152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",87.71,56,3.95,1.98,0.87,5.49,0,3.670000076,143,0.06,15,112,182,59,0.41,0.011,0.002,2.5,0,0.045,0.194,0.101,0.339,0.046,5,0,5,5,18,0.53,75,17,16,0,3,0,0,0,0.04,0,1.232,0.065,0.009,8,245,1 cup,32,1 quart,0
01153,"MILK,CND,EVAP,W/ VIT A",74.04,134,6.81,7.56,1.55,10.04,0,17.39999962,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,0,0.047,0.316,0.194,0.638,0.05,8,0,8,8,18,0.83,397,37,239,0,0,0,0,0,0.04,0,4.591,2.335,0.245,0,244,1 fly oz,227,.5 cup,0
01154,"MILK,DRY,NONFAT,REG,W/ VIT A",3.16,362,36.16,0.77,7.93,4.97,0,3.5499999525,1257,0.05,16.5,968,161,535,4.08,0.041,0.02,27.3,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,16,0.49,414,107,89,0,1,0,0,0,0,0.1,0.499,0.2,0.03,9,120,1 cup,30,.25 cup,0
01155,"MILK,DRY,NONFAT,INST,WO/ VIT A",3.96,358,35.1,0.72,8.03,4.97,0,3.5499999525,1231,0.31,16.5,985,161,549,4.41,0.041,0.02,27.3,0,0.039,0.279,0.105,0.3935,0.053,10,0,10,10,18,0.49,15,4,4,0,1,0,0,0,0.01,0,0.47,0.19,0.03,0,244,1 cup,227,"1 envelope, i (1-1/3 cup)",0
01156,"CHEESE,GOAT,HARD TYPE",29.01,452,30.52,35.59,3.72,2.17,0,2.170000076,895,0.25,11,729,48,346,1.59,0.03,0.017,14.5,0,0.039,0.279,0.105,0.41,0.045,4,0,4,4,15,0.52,1745,486,478,0,0,0,0,0,0.04,0,24.609,8.117,0.845,105,227,1 oz,227,1 quart,0
01157,"CHEESE,GOAT,SEMISOFT TYPE",45.52,364,21.58,29.84,2.94,2.54,0,2.539999962,298,0.03,29,375,158,515,0.66,0.03,0.002,3.1,0,0,0.676,0.105,0.19,0,2,0,2,2,15,0.52,1464,407,401,0,0,0,0,0,0.26,2.5,20.639,6.808,0.709,9,227,1 oz,227,1 quart,0
01159,"CHEESE,GOAT,SOFT TYPE",60.75,268,18.52,21.08,1.58,0.89,0,0.889999986,140,0.25,16,256,26,368,0.92,0.03,0.002,2.8,0,0,0.38,0.105,0.68,0.053,12,0,12,12,15,0.34,1033,288,283,0,0,0,0,0,0.04,1.8,14.575,4.807,0.501,9,227,1 oz,227,1 quart,0
01160,"EGG,YOLK,RAW,FRZ,SALTED",50.8,274,14,23,1.55,1.6,0,17.39999962,114,0.25,10,431,117,158,2.84,0.041,0.062,11.3,0,0.039,0.43,0.04,0.3935,0.053,10,0,10,10,19,0,1190,357,357,0,0,0,0,0,0.01,0,7.028,8.849,0.546,31,227,.5 la,227,"1 cup, shredded",0
01161,"CHEESE SUB,MOZZARELLA",47.36,248,11.47,12.22,5.27,23.67,0,3.5499999525,610,0.03,7,583,161,685,1.92,0.019,0.001,3.1,0,0,0.444,0.317,0.083,0.045,11,0,11,11,14,0.52,1457,437,437,0,0,0,0,0,0.04,0,3.711,6.243,1.738,0,227,1 cup,28,1 oz,0
01163,CHEESE FONDUE,61.61,229,14.23,13.47,1.85,3.77,0,17.39999962,476,0.39,23,306,105,132,1.96,0.026,0.003,14.5,0,0.027,0.196,0.19,0.233,0.045,8,0,4,11,18,0.83,414,109,107,0,0,0,0,0,0.04,0.2,8.721,3.563,0.484,0,244,1 cup,227,.5 cup,0
